108.ari,MAYBE,6.320,108.txt.gz
478.ari,NO,1.320,478.txt.gz
641.ari,MAYBE,51.535,641.txt.gz
40.ari,YES,1.244,40.txt.gz
434.ari,NO,1.415,434.txt.gz
863.ari,MAYBE,2.821,863.txt.gz
230.ari,MAYBE,51.222,230.txt.gz
878.ari,MAYBE,3.653,878.txt.gz
97.ari,NO,1.256,97.txt.gz
109.ari,MAYBE,1.874,109.txt.gz
1497.ari,NO,1.355,1497.txt.gz
864.ari,MAYBE,2.232,864.txt.gz
867.ari,MAYBE,3.880,867.txt.gz
599.ari,YES,1.294,599.txt.gz
224.ari,MAYBE,51.270,224.txt.gz
42.ari,MAYBE,51.391,42.txt.gz
604.ari,NO,1.302,604.txt.gz
488.ari,YES,1.313,488.txt.gz
442.ari,MAYBE,4.293,442.txt.gz
83.ari,YES,1.310,83.txt.gz
151.ari,MAYBE,2.961,151.txt.gz
245.ari,MAYBE,51.235,245.txt.gz
829.ari,NO,1.338,829.txt.gz
1621.ari,MAYBE,1.913,1621.txt.gz
71.ari,YES,1.288,71.txt.gz
836.ari,NO,1.835,836.txt.gz
561.ari,YES,1.286,561.txt.gz
465.ari,MAYBE,51.315,465.txt.gz
557.ari,YES,1.270,557.txt.gz
1008.ari,MAYBE,51.255,1008.txt.gz
565.ari,YES,1.310,565.txt.gz
805.ari,NO,1.450,805.txt.gz
854.ari,NO,1.493,854.txt.gz
131.ari,MAYBE,2.599,131.txt.gz
136.ari,MAYBE,1.674,136.txt.gz
443.ari,MAYBE,3.153,443.txt.gz
839.ari,YES,2.875,839.txt.gz
201.ari,MAYBE,1.707,201.txt.gz
508.ari,MAYBE,51.239,508.txt.gz
140.ari,MAYBE,1.748,140.txt.gz
802.ari,MAYBE,51.390,802.txt.gz
32.ari,NO,1.257,32.txt.gz
828.ari,NO,2.196,828.txt.gz
54.ari,YES,1.323,54.txt.gz
78.ari,MAYBE,11.418,78.txt.gz
793.ari,MAYBE,55.911,793.txt.gz
51.ari,MAYBE,2.087,51.txt.gz
1622.ari,YES,1.494,1622.txt.gz
92.ari,YES,1.329,92.txt.gz
37.ari,MAYBE,51.195,37.txt.gz
450.ari,MAYBE,1.597,450.txt.gz
601.ari,YES,1.294,601.txt.gz
1006.ari,MAYBE,51.252,1006.txt.gz
861.ari,MAYBE,3.296,861.txt.gz
227.ari,NO,1.323,227.txt.gz
177.ari,MAYBE,1.606,177.txt.gz
581.ari,MAYBE,51.230,581.txt.gz
486.ari,YES,1.420,486.txt.gz
150.ari,MAYBE,1.827,150.txt.gz
70.ari,YES,1.313,70.txt.gz
202.ari,MAYBE,51.384,202.txt.gz
578.ari,MAYBE,51.333,578.txt.gz
1607.ari,NO,1.806,1607.txt.gz
16.ari,MAYBE,1.554,16.txt.gz
60.ari,MAYBE,1.535,60.txt.gz
499.ari,NO,1.315,499.txt.gz
880.ari,MAYBE,3.883,880.txt.gz
500.ari,NO,1.310,500.txt.gz
852.ari,MAYBE,3.157,852.txt.gz
211.ari,MAYBE,1.846,211.txt.gz
168.ari,MAYBE,4.182,168.txt.gz
209.ari,MAYBE,1.788,209.txt.gz
123.ari,MAYBE,5.449,123.txt.gz
186.ari,MAYBE,2.226,186.txt.gz
560.ari,MAYBE,51.267,560.txt.gz
866.ari,MAYBE,2.116,866.txt.gz
398.ari,MAYBE,1.805,398.txt.gz
981.ari,YES,1.305,981.txt.gz
806.ari,YES,1.394,806.txt.gz
200.ari,MAYBE,2.828,200.txt.gz
463.ari,MAYBE,51.237,463.txt.gz
238.ari,MAYBE,51.258,238.txt.gz
244.ari,MAYBE,55.154,244.txt.gz
623.ari,NO,1.277,623.txt.gz
94.ari,NO,1.316,94.txt.gz
147.ari,YES,1.333,147.txt.gz
809.ari,NO,1.411,809.txt.gz
821.ari,NO,1.730,821.txt.gz
242.ari,MAYBE,51.276,242.txt.gz
144.ari,MAYBE,2.563,144.txt.gz
430.ari,NO,1.335,430.txt.gz
796.ari,YES,1.218,796.txt.gz
135.ari,MAYBE,1.418,135.txt.gz
25.ari,MAYBE,2.688,25.txt.gz
445.ari,NO,1.392,445.txt.gz
82.ari,YES,1.542,82.txt.gz
396.ari,MAYBE,1.612,396.txt.gz
882.ari,MAYBE,3.674,882.txt.gz
192.ari,MAYBE,1.627,192.txt.gz
197.ari,YES,1.317,197.txt.gz
