499.ari,NO,0.019,499.txt.gz
500.ari,NO,0.023,500.txt.gz
197.ari,YES,0.086,197.txt.gz
131.ari,MAYBE,46.631,131.txt.gz
604.ari,NO,0.017,604.txt.gz
805.ari,NO,41.690,805.txt.gz
78.ari,MAYBE,40.021,78.txt.gz
508.ari,MAYBE,0.199,508.txt.gz
981.ari,YES,0.016,981.txt.gz
242.ari,NO,20.835,242.txt.gz
200.ari,MAYBE,60.135,200.txt.gz
398.ari,MAYBE,40.296,398.txt.gz
861.ari,MAYBE,44.865,861.txt.gz
109.ari,YES,0.906,109.txt.gz
245.ari,MAYBE,60.043,245.txt.gz
16.ari,MAYBE,40.023,16.txt.gz
201.ari,MAYBE,50.271,201.txt.gz
123.ari,MAYBE,60.119,123.txt.gz
244.ari,MAYBE,22.022,244.txt.gz
42.ari,MAYBE,0.128,42.txt.gz
209.ari,MAYBE,40.020,209.txt.gz
82.ari,YES,54.483,82.txt.gz
168.ari,MAYBE,60.117,168.txt.gz
92.ari,YES,0.016,92.txt.gz
578.ari,NO,20.421,578.txt.gz
623.ari,NO,20.217,623.txt.gz
1006.ari,MAYBE,60.073,1006.txt.gz
802.ari,MAYBE,42.710,802.txt.gz
864.ari,MAYBE,44.352,864.txt.gz
1008.ari,MAYBE,40.415,1008.txt.gz
83.ari,YES,0.019,83.txt.gz
224.ari,MAYBE,0.343,224.txt.gz
150.ari,MAYBE,60.110,150.txt.gz
32.ari,NO,0.017,32.txt.gz
641.ari,MAYBE,60.180,641.txt.gz
806.ari,YES,0.021,806.txt.gz
147.ari,YES,0.092,147.txt.gz
94.ari,NO,0.025,94.txt.gz
1497.ari,NO,0.024,1497.txt.gz
793.ari,MAYBE,48.657,793.txt.gz
867.ari,MAYBE,44.460,867.txt.gz
880.ari,MAYBE,42.102,880.txt.gz
488.ari,YES,0.020,488.txt.gz
71.ari,YES,0.019,71.txt.gz
854.ari,NO,20.839,854.txt.gz
863.ari,MAYBE,41.422,863.txt.gz
852.ari,MAYBE,42.499,852.txt.gz
478.ari,NO,0.844,478.txt.gz
581.ari,MAYBE,60.113,581.txt.gz
60.ari,MAYBE,40.258,60.txt.gz
878.ari,MAYBE,49.449,878.txt.gz
40.ari,YES,0.019,40.txt.gz
97.ari,NO,0.020,97.txt.gz
1607.ari,NO,0.023,1607.txt.gz
51.ari,MAYBE,40.032,51.txt.gz
54.ari,YES,0.028,54.txt.gz
70.ari,YES,0.025,70.txt.gz
866.ari,MAYBE,60.083,866.txt.gz
108.ari,MAYBE,60.147,108.txt.gz
796.ari,YES,0.018,796.txt.gz
450.ari,MAYBE,2.787,450.txt.gz
25.ari,MAYBE,40.021,25.txt.gz
434.ari,NO,0.099,434.txt.gz
828.ari,MAYBE,11.164,828.txt.gz
144.ari,MAYBE,41.542,144.txt.gz
809.ari,NO,0.585,809.txt.gz
37.ari,MAYBE,60.080,37.txt.gz
445.ari,MAYBE,60.031,445.txt.gz
135.ari,MAYBE,0.915,135.txt.gz
599.ari,YES,0.024,599.txt.gz
486.ari,YES,2.402,486.txt.gz
1622.ari,YES,0.168,1622.txt.gz
211.ari,MAYBE,40.021,211.txt.gz
839.ari,MAYBE,41.320,839.txt.gz
136.ari,MAYBE,60.088,136.txt.gz
238.ari,NO,20.850,238.txt.gz
561.ari,YES,0.016,561.txt.gz
227.ari,NO,20.431,227.txt.gz
151.ari,MAYBE,3.536,151.txt.gz
177.ari,MAYBE,60.094,177.txt.gz
192.ari,MAYBE,60.150,192.txt.gz
601.ari,YES,0.013,601.txt.gz
557.ari,YES,0.017,557.txt.gz
565.ari,YES,0.018,565.txt.gz
1621.ari,MAYBE,40.026,1621.txt.gz
465.ari,MAYBE,60.108,465.txt.gz
430.ari,NO,0.019,430.txt.gz
829.ari,NO,0.024,829.txt.gz
821.ari,MAYBE,60.038,821.txt.gz
202.ari,MAYBE,0.198,202.txt.gz
836.ari,NO,0.018,836.txt.gz
442.ari,MAYBE,60.068,442.txt.gz
443.ari,MAYBE,60.027,443.txt.gz
230.ari,NO,20.466,230.txt.gz
396.ari,MAYBE,0.154,396.txt.gz
560.ari,MAYBE,37.992,560.txt.gz
186.ari,MAYBE,13.954,186.txt.gz
463.ari,MAYBE,60.102,463.txt.gz
140.ari,MAYBE,60.076,140.txt.gz
882.ari,MAYBE,44.642,882.txt.gz
