508.ari,NO,0.615,508.xml.gz
641.ari,NO,0.661,641.xml.gz
809.ari,NO,0.627,809.xml.gz
557.ari,YES,0.559,557.xml.gz
821.ari,NO,8.350,821.xml.gz
560.ari,NO,0.653,560.xml.gz
200.ari,MAYBE,54.663,200.txt.gz
192.ari,MAYBE,54.582,192.txt.gz
42.ari,YES,0.656,42.xml.gz
211.ari,MAYBE,18.743,211.txt.gz
434.ari,NO,0.588,434.xml.gz
177.ari,MAYBE,54.586,177.txt.gz
147.ari,YES,0.655,147.xml.gz
1497.ari,NO,0.567,1497.xml.gz
863.ari,MAYBE,54.520,863.txt.gz
135.ari,YES,0.971,135.xml.gz
150.ari,YES,1.057,150.xml.gz
604.ari,NO,0.528,604.xml.gz
581.ari,NO,0.699,581.xml.gz
60.ari,YES,0.589,60.xml.gz
854.ari,MAYBE,18.670,854.txt.gz
1006.ari,MAYBE,54.541,1006.txt.gz
601.ari,YES,0.554,601.xml.gz
54.ari,YES,0.684,54.xml.gz
852.ari,MAYBE,54.507,852.txt.gz
202.ari,NO,0.656,202.xml.gz
828.ari,NO,13.394,828.xml.gz
805.ari,NO,1.879,805.xml.gz
839.ari,YES,1.321,839.xml.gz
144.ari,YES,0.721,144.xml.gz
1607.ari,NO,0.585,1607.xml.gz
224.ari,YES,0.635,224.xml.gz
1008.ari,MAYBE,54.551,1008.txt.gz
109.ari,YES,0.771,109.xml.gz
227.ari,NO,0.577,227.xml.gz
245.ari,MAYBE,54.554,245.txt.gz
151.ari,MAYBE,54.515,151.txt.gz
40.ari,YES,0.598,40.xml.gz
445.ari,NO,0.823,445.xml.gz
230.ari,NO,0.608,230.xml.gz
242.ari,NO,0.687,242.xml.gz
836.ari,NO,0.545,836.xml.gz
882.ari,MAYBE,54.577,882.txt.gz
92.ari,YES,0.572,92.xml.gz
16.ari,NO,4.116,16.xml.gz
94.ari,NO,0.571,94.xml.gz
201.ari,MAYBE,54.668,201.txt.gz
561.ari,YES,0.568,561.xml.gz
83.ari,YES,0.747,83.xml.gz
599.ari,YES,0.576,599.xml.gz
1621.ari,MAYBE,18.693,1621.txt.gz
623.ari,NO,0.780,623.xml.gz
866.ari,YES,6.939,866.xml.gz
197.ari,YES,0.679,197.xml.gz
829.ari,NO,0.569,829.xml.gz
486.ari,YES,0.687,486.xml.gz
806.ari,YES,0.573,806.xml.gz
97.ari,NO,0.673,97.xml.gz
499.ari,NO,0.574,499.xml.gz
51.ari,MAYBE,15.933,51.txt.gz
168.ari,MAYBE,54.649,168.txt.gz
864.ari,MAYBE,54.540,864.txt.gz
71.ari,YES,0.557,71.xml.gz
867.ari,YES,1.344,867.xml.gz
108.ari,MAYBE,54.573,108.txt.gz
450.ari,NO,8.208,450.xml.gz
465.ari,MAYBE,54.582,465.txt.gz
78.ari,MAYBE,31.158,78.txt.gz
802.ari,NO,1.220,802.xml.gz
244.ari,NO,0.532,244.xml.gz
123.ari,MAYBE,54.546,123.txt.gz
500.ari,NO,0.681,500.xml.gz
136.ari,YES,0.713,136.xml.gz
37.ari,YES,0.607,37.xml.gz
186.ari,MAYBE,54.548,186.txt.gz
565.ari,YES,0.559,565.xml.gz
981.ari,YES,0.563,981.xml.gz
578.ari,NO,0.638,578.xml.gz
1622.ari,MAYBE,18.805,1622.txt.gz
463.ari,MAYBE,54.564,463.txt.gz
131.ari,MAYBE,54.536,131.txt.gz
478.ari,NO,0.631,478.xml.gz
25.ari,MAYBE,30.971,25.txt.gz
32.ari,NO,0.563,32.xml.gz
443.ari,MAYBE,54.565,443.txt.gz
70.ari,YES,0.597,70.xml.gz
396.ari,YES,0.601,396.xml.gz
861.ari,MAYBE,54.508,861.txt.gz
209.ari,MAYBE,18.588,209.txt.gz
238.ari,NO,0.844,238.xml.gz
430.ari,NO,0.571,430.xml.gz
488.ari,YES,0.573,488.xml.gz
82.ari,YES,0.660,82.xml.gz
442.ari,MAYBE,54.631,442.txt.gz
878.ari,MAYBE,54.527,878.txt.gz
793.ari,YES,49.943,793.xml.gz
796.ari,YES,0.644,796.xml.gz
140.ari,MAYBE,54.642,140.txt.gz
398.ari,YES,0.593,398.xml.gz
880.ari,MAYBE,54.533,880.txt.gz
