430.ari,NO,1.344,430.txt.gz
499.ari,NO,1.136,499.txt.gz
796.ari,YES,1.158,796.txt.gz
836.ari,NO,1.124,836.txt.gz
809.ari,NO,1.241,809.txt.gz
806.ari,YES,1.335,806.txt.gz
238.ari,NO,1.371,238.txt.gz
565.ari,YES,1.224,565.txt.gz
42.ari,YES,1.307,42.txt.gz
197.ari,YES,1.753,197.txt.gz
828.ari,NO,23.678,828.txt.gz
227.ari,NO,1.259,227.txt.gz
561.ari,YES,1.371,561.txt.gz
864.ari,MAYBE,60.088,864.txt.gz
1621.ari,MAYBE,31.212,1621.txt.gz
981.ari,YES,1.206,981.txt.gz
488.ari,YES,1.411,488.txt.gz
434.ari,NO,1.311,434.txt.gz
445.ari,NO,1.354,445.txt.gz
599.ari,YES,1.431,599.txt.gz
151.ari,YES,1.789,151.txt.gz
882.ari,MAYBE,60.113,882.txt.gz
230.ari,NO,1.202,230.txt.gz
623.ari,NO,1.227,623.txt.gz
866.ari,YES,9.967,866.txt.gz
245.ari,MAYBE,60.209,245.txt.gz
92.ari,YES,1.221,92.txt.gz
202.ari,NO,1.409,202.txt.gz
150.ari,YES,2.825,150.txt.gz
32.ari,NO,1.277,32.txt.gz
829.ari,NO,1.544,829.txt.gz
443.ari,YES,18.407,443.txt.gz
486.ari,YES,1.477,486.txt.gz
839.ari,YES,5.856,839.txt.gz
186.ari,YES,1.737,186.txt.gz
581.ari,NO,1.348,581.txt.gz
1006.ari,MAYBE,60.221,1006.txt.gz
396.ari,YES,1.286,396.txt.gz
793.ari,YES,1.356,793.txt.gz
854.ari,MAYBE,31.152,854.txt.gz
211.ari,YES,1.173,211.txt.gz
1622.ari,YES,1.417,1622.txt.gz
201.ari,YES,1.714,201.txt.gz
71.ari,YES,1.320,71.txt.gz
880.ari,MAYBE,60.141,880.txt.gz
136.ari,YES,1.890,136.txt.gz
465.ari,MAYBE,60.164,465.txt.gz
557.ari,YES,1.222,557.txt.gz
108.ari,MAYBE,60.083,108.txt.gz
398.ari,YES,1.389,398.txt.gz
200.ari,YES,2.411,200.txt.gz
25.ari,YES,3.890,25.txt.gz
508.ari,NO,1.231,508.txt.gz
863.ari,MAYBE,60.129,863.txt.gz
867.ari,YES,7.058,867.txt.gz
244.ari,NO,1.233,244.txt.gz
641.ari,NO,1.327,641.txt.gz
140.ari,YES,1.641,140.txt.gz
224.ari,YES,2.042,224.txt.gz
51.ari,MAYBE,22.649,51.txt.gz
578.ari,NO,1.171,578.txt.gz
805.ari,NO,3.450,805.txt.gz
1607.ari,NO,1.198,1607.txt.gz
450.ari,NO,12.919,450.txt.gz
1008.ari,MAYBE,60.151,1008.txt.gz
97.ari,NO,1.527,97.txt.gz
442.ari,YES,11.069,442.txt.gz
560.ari,NO,1.355,560.txt.gz
604.ari,NO,1.215,604.txt.gz
40.ari,YES,1.371,40.txt.gz
78.ari,YES,1.324,78.txt.gz
16.ari,NO,2.972,16.txt.gz
601.ari,YES,1.197,601.txt.gz
168.ari,YES,2.928,168.txt.gz
861.ari,MAYBE,60.160,861.txt.gz
135.ari,YES,2.032,135.txt.gz
209.ari,YES,1.727,209.txt.gz
54.ari,YES,1.143,54.txt.gz
70.ari,YES,1.572,70.txt.gz
131.ari,YES,2.060,131.txt.gz
1497.ari,NO,1.170,1497.txt.gz
500.ari,NO,1.159,500.txt.gz
177.ari,YES,2.367,177.txt.gz
82.ari,YES,1.387,82.txt.gz
878.ari,MAYBE,60.138,878.txt.gz
147.ari,YES,1.632,147.txt.gz
821.ari,NO,14.268,821.txt.gz
83.ari,YES,1.189,83.txt.gz
463.ari,MAYBE,60.172,463.txt.gz
802.ari,NO,2.804,802.txt.gz
123.ari,YES,1.689,123.txt.gz
242.ari,NO,1.269,242.txt.gz
192.ari,YES,2.654,192.txt.gz
94.ari,NO,1.197,94.txt.gz
144.ari,YES,3.232,144.txt.gz
37.ari,YES,1.235,37.txt.gz
60.ari,YES,2.617,60.txt.gz
852.ari,MAYBE,60.101,852.txt.gz
109.ari,YES,1.568,109.txt.gz
478.ari,NO,1.355,478.txt.gz
