599.ari,YES,0.313,599.txt.gz
806.ari,YES,2.278,806.txt.gz
854.ari,NO,0.190,854.txt.gz
852.ari,MAYBE,60.052,852.txt.gz
168.ari,MAYBE,60.090,168.txt.gz
623.ari,NO,0.016,623.txt.gz
828.ari,MAYBE,60.066,828.txt.gz
78.ari,MAYBE,60.075,78.txt.gz
51.ari,MAYBE,0.240,51.txt.gz
144.ari,MAYBE,0.948,144.txt.gz
488.ari,YES,0.135,488.txt.gz
200.ari,MAYBE,60.037,200.txt.gz
398.ari,MAYBE,1.373,398.txt.gz
465.ari,MAYBE,60.052,465.txt.gz
242.ari,NO,0.016,242.txt.gz
244.ari,NO,0.851,244.txt.gz
82.ari,YES,0.742,82.txt.gz
866.ari,MAYBE,31.508,866.txt.gz
809.ari,NO,0.020,809.txt.gz
445.ari,NO,23.450,445.txt.gz
829.ari,NO,0.016,829.txt.gz
796.ari,MAYBE,60.064,796.txt.gz
581.ari,NO,0.018,581.txt.gz
604.ari,NO,0.019,604.txt.gz
131.ari,MAYBE,52.028,131.txt.gz
450.ari,MAYBE,34.891,450.txt.gz
836.ari,NO,0.017,836.txt.gz
123.ari,YES,57.190,123.txt.gz
561.ari,YES,0.166,561.txt.gz
209.ari,YES,0.498,209.txt.gz
867.ari,YES,37.555,867.txt.gz
40.ari,YES,0.080,40.txt.gz
1621.ari,MAYBE,0.294,1621.txt.gz
565.ari,YES,0.174,565.txt.gz
882.ari,MAYBE,2.386,882.txt.gz
140.ari,MAYBE,60.062,140.txt.gz
136.ari,YES,12.280,136.txt.gz
186.ari,MAYBE,60.043,186.txt.gz
508.ari,NO,0.697,508.txt.gz
1607.ari,NO,0.016,1607.txt.gz
641.ari,NO,0.018,641.txt.gz
230.ari,NO,0.016,230.txt.gz
805.ari,NO,0.019,805.txt.gz
42.ari,YES,0.558,42.txt.gz
70.ari,YES,0.109,70.txt.gz
442.ari,MAYBE,60.056,442.txt.gz
201.ari,MAYBE,42.066,201.txt.gz
443.ari,MAYBE,60.025,443.txt.gz
151.ari,MAYBE,42.883,151.txt.gz
224.ari,MAYBE,1.769,224.txt.gz
578.ari,NO,0.018,578.txt.gz
396.ari,MAYBE,0.212,396.txt.gz
1008.ari,NO,0.018,1008.txt.gz
478.ari,NO,0.017,478.txt.gz
500.ari,NO,0.028,500.txt.gz
557.ari,YES,0.104,557.txt.gz
499.ari,NO,0.022,499.txt.gz
16.ari,NO,0.019,16.txt.gz
177.ari,MAYBE,60.032,177.txt.gz
430.ari,NO,0.019,430.txt.gz
981.ari,YES,0.122,981.txt.gz
821.ari,NO,11.428,821.txt.gz
434.ari,NO,0.017,434.txt.gz
60.ari,YES,0.438,60.txt.gz
92.ari,YES,0.127,92.txt.gz
463.ari,MAYBE,60.028,463.txt.gz
1622.ari,MAYBE,2.253,1622.txt.gz
135.ari,MAYBE,1.250,135.txt.gz
147.ari,YES,0.197,147.txt.gz
37.ari,YES,0.259,37.txt.gz
802.ari,NO,0.031,802.txt.gz
71.ari,YES,0.112,71.txt.gz
32.ari,NO,0.017,32.txt.gz
864.ari,MAYBE,1.205,864.txt.gz
863.ari,YES,46.659,863.txt.gz
1497.ari,NO,0.017,1497.txt.gz
54.ari,MAYBE,0.297,54.txt.gz
601.ari,YES,0.156,601.txt.gz
839.ari,MAYBE,60.088,839.txt.gz
560.ari,NO,0.016,560.txt.gz
1006.ari,NO,0.017,1006.txt.gz
83.ari,YES,0.111,83.txt.gz
150.ari,MAYBE,22.517,150.txt.gz
202.ari,NO,0.017,202.txt.gz
238.ari,MAYBE,0.636,238.txt.gz
245.ari,NO,0.025,245.txt.gz
878.ari,MAYBE,14.716,878.txt.gz
880.ari,MAYBE,21.351,880.txt.gz
211.ari,YES,0.477,211.txt.gz
109.ari,YES,0.230,109.txt.gz
486.ari,YES,0.256,486.txt.gz
97.ari,NO,0.023,97.txt.gz
192.ari,MAYBE,60.023,192.txt.gz
197.ari,YES,0.246,197.txt.gz
227.ari,NO,0.020,227.txt.gz
861.ari,MAYBE,30.526,861.txt.gz
25.ari,MAYBE,2.324,25.txt.gz
94.ari,NO,0.016,94.txt.gz
793.ari,MAYBE,60.109,793.txt.gz
108.ari,MAYBE,60.030,108.txt.gz
