1.ari,MAYBE,0.318,1.txt.gz
10.ari,NO,0.016,10.txt.gz
100.ari,YES,0.100,100.txt.gz
1001.ari,NO,0.015,1001.txt.gz
1002.ari,NO,0.017,1002.txt.gz
1003.ari,NO,0.019,1003.txt.gz
1004.ari,NO,0.019,1004.txt.gz
1005.ari,NO,0.019,1005.txt.gz
1006.ari,NO,0.014,1006.txt.gz
1007.ari,NO,0.017,1007.txt.gz
1008.ari,NO,0.015,1008.txt.gz
1009.ari,NO,0.040,1009.txt.gz
101.ari,YES,34.744,101.txt.gz
1010.ari,NO,0.195,1010.txt.gz
1011.ari,NO,0.314,1011.txt.gz
1014.ari,MAYBE,1.478,1014.txt.gz
102.ari,YES,0.209,102.txt.gz
103.ari,MAYBE,40.644,103.txt.gz
104.ari,MAYBE,0.923,104.txt.gz
105.ari,YES,0.542,105.txt.gz
106.ari,MAYBE,0.373,106.txt.gz
107.ari,MAYBE,450.456,107.txt.gz
108.ari,MAYBE,600.062,108.txt.gz
109.ari,YES,0.230,109.txt.gz
11.ari,YES,0.144,11.txt.gz
110.ari,YES,2.140,110.txt.gz
111.ari,NO,0.018,111.txt.gz
112.ari,YES,0.107,112.txt.gz
113.ari,YES,0.112,113.txt.gz
1131.ari,NO,0.017,1131.txt.gz
1132.ari,NO,0.021,1132.txt.gz
1133.ari,MAYBE,600.034,1133.txt.gz
1134.ari,MAYBE,47.464,1134.txt.gz
1135.ari,MAYBE,600.055,1135.txt.gz
1136.ari,MAYBE,107.830,1136.txt.gz
1137.ari,MAYBE,9.130,1137.txt.gz
114.ari,MAYBE,1.780,114.txt.gz
115.ari,YES,0.370,115.txt.gz
116.ari,YES,1.923,116.txt.gz
117.ari,YES,0.404,117.txt.gz
118.ari,MAYBE,600.056,118.txt.gz
119.ari,YES,0.853,119.txt.gz
12.ari,YES,0.111,12.txt.gz
120.ari,MAYBE,236.719,120.txt.gz
121.ari,YES,109.597,121.txt.gz
122.ari,MAYBE,600.049,122.txt.gz
123.ari,YES,56.366,123.txt.gz
124.ari,MAYBE,13.211,124.txt.gz
125.ari,MAYBE,216.567,125.txt.gz
126.ari,MAYBE,0.955,126.txt.gz
127.ari,MAYBE,338.663,127.txt.gz
128.ari,MAYBE,1.422,128.txt.gz
129.ari,MAYBE,0.857,129.txt.gz
13.ari,NO,0.019,13.txt.gz
130.ari,MAYBE,38.287,130.txt.gz
131.ari,MAYBE,85.781,131.txt.gz
132.ari,MAYBE,8.098,132.txt.gz
133.ari,YES,0.264,133.txt.gz
134.ari,MAYBE,42.695,134.txt.gz
135.ari,MAYBE,1.344,135.txt.gz
136.ari,YES,11.775,136.txt.gz
137.ari,MAYBE,293.035,137.txt.gz
138.ari,MAYBE,44.253,138.txt.gz
139.ari,MAYBE,2.235,139.txt.gz
14.ari,YES,0.167,14.txt.gz
140.ari,MAYBE,188.256,140.txt.gz
141.ari,MAYBE,130.400,141.txt.gz
142.ari,MAYBE,59.070,142.txt.gz
143.ari,MAYBE,600.081,143.txt.gz
144.ari,MAYBE,0.899,144.txt.gz
145.ari,YES,38.882,145.txt.gz
146.ari,MAYBE,41.569,146.txt.gz
147.ari,YES,0.197,147.txt.gz
148.ari,YES,0.200,148.txt.gz
149.ari,MAYBE,196.686,149.txt.gz
1496.ari,NO,0.019,1496.txt.gz
1497.ari,NO,0.018,1497.txt.gz
1498.ari,YES,7.989,1498.txt.gz
1499.ari,MAYBE,2.783,1499.txt.gz
15.ari,NO,164.811,15.txt.gz
150.ari,MAYBE,20.042,150.txt.gz
1500.ari,MAYBE,52.340,1500.txt.gz
1501.ari,YES,1.221,1501.txt.gz
1502.ari,YES,0.280,1502.txt.gz
151.ari,MAYBE,44.056,151.txt.gz
152.ari,MAYBE,15.956,152.txt.gz
153.ari,MAYBE,600.066,153.txt.gz
154.ari,MAYBE,213.591,154.txt.gz
155.ari,MAYBE,94.384,155.txt.gz
156.ari,YES,0.354,156.txt.gz
157.ari,YES,1.554,157.txt.gz
158.ari,MAYBE,11.375,158.txt.gz
159.ari,MAYBE,209.167,159.txt.gz
16.ari,NO,0.018,16.txt.gz
160.ari,MAYBE,42.307,160.txt.gz
1606.ari,NO,0.012,1606.txt.gz
1607.ari,NO,0.018,1607.txt.gz
161.ari,YES,17.983,161.txt.gz
1619.ari,MAYBE,0.329,1619.txt.gz
162.ari,MAYBE,83.699,162.txt.gz
1621.ari,MAYBE,0.306,1621.txt.gz
1622.ari,MAYBE,2.376,1622.txt.gz
163.ari,MAYBE,1.239,163.txt.gz
164.ari,MAYBE,0.958,164.txt.gz
165.ari,MAYBE,15.653,165.txt.gz
166.ari,MAYBE,600.032,166.txt.gz
167.ari,MAYBE,84.354,167.txt.gz
168.ari,MAYBE,581.750,168.txt.gz
169.ari,MAYBE,0.254,169.txt.gz
17.ari,MAYBE,0.222,17.txt.gz
170.ari,MAYBE,41.088,170.txt.gz
171.ari,MAYBE,318.523,171.txt.gz
172.ari,MAYBE,206.390,172.txt.gz
173.ari,YES,0.535,173.txt.gz
174.ari,MAYBE,600.103,174.txt.gz
175.ari,YES,0.173,175.txt.gz
176.ari,MAYBE,1.102,176.txt.gz
177.ari,MAYBE,165.053,177.txt.gz
178.ari,MAYBE,167.507,178.txt.gz
179.ari,MAYBE,34.272,179.txt.gz
18.ari,YES,0.108,18.txt.gz
180.ari,MAYBE,47.131,180.txt.gz
181.ari,MAYBE,0.934,181.txt.gz
182.ari,YES,56.750,182.txt.gz
183.ari,YES,58.299,183.txt.gz
184.ari,MAYBE,0.734,184.txt.gz
185.ari,YES,56.465,185.txt.gz
186.ari,MAYBE,88.747,186.txt.gz
187.ari,MAYBE,68.843,187.txt.gz
188.ari,MAYBE,1.207,188.txt.gz
189.ari,YES,58.090,189.txt.gz
19.ari,YES,5.510,19.txt.gz
190.ari,MAYBE,210.853,190.txt.gz
191.ari,MAYBE,43.448,191.txt.gz
192.ari,YES,114.659,192.txt.gz
193.ari,MAYBE,38.184,193.txt.gz
194.ari,MAYBE,0.962,194.txt.gz
195.ari,MAYBE,148.215,195.txt.gz
196.ari,MAYBE,600.089,196.txt.gz
197.ari,YES,0.293,197.txt.gz
198.ari,MAYBE,90.056,198.txt.gz
199.ari,MAYBE,600.050,199.txt.gz
2.ari,MAYBE,0.506,2.txt.gz
20.ari,YES,0.891,20.txt.gz
200.ari,MAYBE,155.064,200.txt.gz
201.ari,MAYBE,41.860,201.txt.gz
202.ari,NO,0.014,202.txt.gz
203.ari,YES,0.633,203.txt.gz
204.ari,NO,0.020,204.txt.gz
205.ari,MAYBE,600.053,205.txt.gz
206.ari,NO,1.401,206.txt.gz
207.ari,YES,3.548,207.txt.gz
208.ari,MAYBE,0.683,208.txt.gz
209.ari,YES,0.550,209.txt.gz
21.ari,NO,0.018,21.txt.gz
210.ari,YES,0.232,210.txt.gz
211.ari,YES,0.470,211.txt.gz
212.ari,YES,0.451,212.txt.gz
213.ari,YES,0.314,213.txt.gz
214.ari,NO,0.016,214.txt.gz
215.ari,NO,0.242,215.txt.gz
216.ari,MAYBE,0.233,216.txt.gz
217.ari,MAYBE,0.625,217.txt.gz
218.ari,YES,0.383,218.txt.gz
219.ari,MAYBE,0.584,219.txt.gz
22.ari,YES,0.384,22.txt.gz
220.ari,MAYBE,0.235,220.txt.gz
221.ari,MAYBE,0.235,221.txt.gz
222.ari,MAYBE,5.349,222.txt.gz
223.ari,MAYBE,0.194,223.txt.gz
224.ari,MAYBE,1.828,224.txt.gz
225.ari,NO,0.017,225.txt.gz
226.ari,NO,0.016,226.txt.gz
