1.ari,YES,0.071,1.txt.gz
10.ari,NO,0.077,10.txt.gz
100.ari,YES,0.054,100.txt.gz
1001.ari,MAYBE,294.416,1001.txt.gz
1002.ari,MAYBE,21.848,1002.txt.gz
1003.ari,MAYBE,83.563,1003.txt.gz
1004.ari,MAYBE,600.048,1004.txt.gz
1005.ari,MAYBE,600.022,1005.txt.gz
1006.ari,MAYBE,197.400,1006.txt.gz
1007.ari,MAYBE,600.141,1007.txt.gz
1008.ari,MAYBE,38.027,1008.txt.gz
1009.ari,NO,0.076,1009.txt.gz
101.ari,YES,7.266,101.txt.gz
1010.ari,MAYBE,25.364,1010.txt.gz
1011.ari,MAYBE,36.213,1011.txt.gz
1014.ari,MAYBE,7.810,1014.txt.gz
102.ari,YES,0.105,102.txt.gz
103.ari,YES,11.201,103.txt.gz
104.ari,YES,2.262,104.txt.gz
105.ari,YES,0.066,105.txt.gz
106.ari,YES,0.103,106.txt.gz
107.ari,MAYBE,600.076,107.txt.gz
108.ari,MAYBE,600.056,108.txt.gz
109.ari,YES,0.115,109.txt.gz
11.ari,YES,0.068,11.txt.gz
110.ari,YES,0.087,110.txt.gz
111.ari,NO,0.689,111.txt.gz
112.ari,YES,0.058,112.txt.gz
113.ari,YES,0.049,113.txt.gz
1131.ari,NO,0.072,1131.txt.gz
1132.ari,NO,0.122,1132.txt.gz
1133.ari,MAYBE,42.575,1133.txt.gz
1134.ari,MAYBE,26.590,1134.txt.gz
1135.ari,MAYBE,39.297,1135.txt.gz
1136.ari,MAYBE,24.865,1136.txt.gz
1137.ari,MAYBE,14.236,1137.txt.gz
114.ari,MAYBE,4.318,114.txt.gz
115.ari,YES,0.066,115.txt.gz
116.ari,MAYBE,600.043,116.txt.gz
117.ari,YES,0.055,117.txt.gz
118.ari,YES,9.646,118.txt.gz
119.ari,YES,0.081,119.txt.gz
12.ari,YES,0.056,12.txt.gz
120.ari,YES,11.264,120.txt.gz
121.ari,YES,6.891,121.txt.gz
122.ari,YES,9.488,122.txt.gz
123.ari,YES,7.764,123.txt.gz
124.ari,MAYBE,600.062,124.txt.gz
125.ari,YES,10.544,125.txt.gz
126.ari,YES,2.123,126.txt.gz
127.ari,YES,9.353,127.txt.gz
128.ari,YES,1.194,128.txt.gz
129.ari,YES,2.778,129.txt.gz
13.ari,NO,0.072,13.txt.gz
130.ari,YES,14.603,130.txt.gz
131.ari,YES,7.649,131.txt.gz
132.ari,YES,0.090,132.txt.gz
133.ari,YES,0.058,133.txt.gz
134.ari,YES,8.255,134.txt.gz
135.ari,YES,2.473,135.txt.gz
136.ari,YES,10.307,136.txt.gz
137.ari,YES,14.668,137.txt.gz
