1.ari,MAYBE,0.318,1.txt.gz
10.ari,NO,0.018,10.txt.gz
100.ari,YES,0.027,100.txt.gz
1001.ari,MAYBE,41.209,1001.txt.gz
1002.ari,MAYBE,43.051,1002.txt.gz
1003.ari,MAYBE,120.018,1003.txt.gz
1004.ari,MAYBE,120.009,1004.txt.gz
1005.ari,MAYBE,120.017,1005.txt.gz
1006.ari,MAYBE,120.016,1006.txt.gz
1007.ari,MAYBE,120.010,1007.txt.gz
1008.ari,MAYBE,40.324,1008.txt.gz
1009.ari,NO,3.576,1009.txt.gz
101.ari,YES,0.630,101.txt.gz
1010.ari,NO,102.914,1010.txt.gz
1011.ari,MAYBE,71.284,1011.txt.gz
1014.ari,MAYBE,40.020,1014.txt.gz
102.ari,YES,0.016,102.txt.gz
103.ari,MAYBE,9.686,103.txt.gz
104.ari,MAYBE,1.611,104.txt.gz
105.ari,MAYBE,40.024,105.txt.gz
106.ari,MAYBE,40.022,106.txt.gz
107.ari,MAYBE,120.009,107.txt.gz
108.ari,MAYBE,120.009,108.txt.gz
109.ari,YES,0.625,109.txt.gz
11.ari,YES,0.020,11.txt.gz
110.ari,YES,0.676,110.txt.gz
111.ari,MAYBE,40.124,111.txt.gz
112.ari,YES,0.302,112.txt.gz
113.ari,YES,4.507,113.txt.gz
1131.ari,NO,0.016,1131.txt.gz
1132.ari,NO,22.276,1132.txt.gz
1133.ari,MAYBE,120.011,1133.txt.gz
1134.ari,MAYBE,120.011,1134.txt.gz
1135.ari,MAYBE,118.004,1135.txt.gz
1136.ari,MAYBE,120.012,1136.txt.gz
1137.ari,MAYBE,1.631,1137.txt.gz
114.ari,YES,0.040,114.txt.gz
115.ari,MAYBE,40.020,115.txt.gz
116.ari,MAYBE,0.142,116.txt.gz
117.ari,MAYBE,40.016,117.txt.gz
118.ari,MAYBE,36.539,118.txt.gz
119.ari,MAYBE,101.936,119.txt.gz
12.ari,YES,0.026,12.txt.gz
120.ari,MAYBE,84.191,120.txt.gz
121.ari,MAYBE,120.009,121.txt.gz
122.ari,MAYBE,85.706,122.txt.gz
123.ari,MAYBE,120.006,123.txt.gz
124.ari,MAYBE,41.394,124.txt.gz
125.ari,MAYBE,99.557,125.txt.gz
126.ari,MAYBE,41.164,126.txt.gz
127.ari,MAYBE,120.008,127.txt.gz
128.ari,MAYBE,0.295,128.txt.gz
129.ari,MAYBE,1.637,129.txt.gz
13.ari,NO,0.020,13.txt.gz
130.ari,MAYBE,9.090,130.txt.gz
131.ari,MAYBE,47.171,131.txt.gz
132.ari,MAYBE,61.603,132.txt.gz
133.ari,YES,0.064,133.txt.gz
134.ari,MAYBE,12.939,134.txt.gz
135.ari,MAYBE,1.053,135.txt.gz
136.ari,MAYBE,120.008,136.txt.gz
