1.ari,YES,0.715,1.xml.gz
10.ari,NO,0.574,10.xml.gz
100.ari,YES,0.605,100.xml.gz
1001.ari,MAYBE,54.572,1001.txt.gz
1002.ari,MAYBE,54.552,1002.txt.gz
1003.ari,MAYBE,54.652,1003.txt.gz
1004.ari,MAYBE,54.712,1004.txt.gz
1005.ari,MAYBE,54.575,1005.txt.gz
1006.ari,MAYBE,54.554,1006.txt.gz
1007.ari,MAYBE,54.550,1007.txt.gz
1008.ari,MAYBE,54.574,1008.txt.gz
1009.ari,NO,0.591,1009.xml.gz
101.ari,YES,0.686,101.xml.gz
1010.ari,NO,0.593,1010.xml.gz
1011.ari,NO,0.891,1011.xml.gz
1014.ari,MAYBE,30.878,1014.txt.gz
102.ari,YES,0.573,102.xml.gz
103.ari,MAYBE,54.518,103.txt.gz
104.ari,YES,0.721,104.xml.gz
105.ari,MAYBE,18.623,105.txt.gz
106.ari,MAYBE,18.732,106.txt.gz
107.ari,MAYBE,54.544,107.txt.gz
108.ari,MAYBE,54.565,108.txt.gz
109.ari,YES,0.677,109.xml.gz
11.ari,YES,0.549,11.xml.gz
110.ari,YES,0.708,110.xml.gz
111.ari,NO,0.698,111.xml.gz
112.ari,YES,0.712,112.xml.gz
113.ari,YES,0.872,113.xml.gz
1131.ari,NO,0.582,1131.xml.gz
1132.ari,NO,0.606,1132.xml.gz
1133.ari,MAYBE,54.836,1133.txt.gz
1134.ari,MAYBE,54.510,1134.txt.gz
1135.ari,MAYBE,54.830,1135.txt.gz
1136.ari,MAYBE,54.516,1136.txt.gz
1137.ari,YES,2.881,1137.xml.gz
114.ari,YES,0.642,114.xml.gz
115.ari,MAYBE,18.613,115.txt.gz
116.ari,MAYBE,18.642,116.txt.gz
117.ari,MAYBE,18.568,117.txt.gz
118.ari,MAYBE,54.722,118.txt.gz
119.ari,YES,0.698,119.xml.gz
12.ari,YES,0.578,12.xml.gz
120.ari,MAYBE,54.668,120.txt.gz
121.ari,MAYBE,54.563,121.txt.gz
122.ari,MAYBE,54.577,122.txt.gz
123.ari,MAYBE,54.666,123.txt.gz
124.ari,MAYBE,54.509,124.txt.gz
125.ari,MAYBE,54.556,125.txt.gz
126.ari,YES,0.741,126.xml.gz
127.ari,MAYBE,54.543,127.txt.gz
128.ari,YES,0.682,128.xml.gz
129.ari,YES,0.699,129.xml.gz
13.ari,NO,0.549,13.xml.gz
130.ari,MAYBE,54.455,130.txt.gz
131.ari,MAYBE,54.532,131.txt.gz
132.ari,MAYBE,54.500,132.txt.gz
133.ari,YES,0.686,133.xml.gz
134.ari,MAYBE,54.484,134.txt.gz
135.ari,YES,0.674,135.xml.gz
136.ari,YES,0.774,136.xml.gz
137.ari,MAYBE,54.547,137.txt.gz
138.ari,MAYBE,54.774,138.txt.gz
139.ari,YES,23.578,139.xml.gz
14.ari,YES,0.638,14.xml.gz
140.ari,MAYBE,54.647,140.txt.gz
141.ari,MAYBE,54.520,141.txt.gz
142.ari,MAYBE,54.508,142.txt.gz
143.ari,MAYBE,54.531,143.txt.gz
144.ari,YES,0.711,144.xml.gz
145.ari,MAYBE,54.530,145.txt.gz
146.ari,MAYBE,54.524,146.txt.gz
147.ari,YES,0.614,147.xml.gz
148.ari,YES,0.678,148.xml.gz
149.ari,MAYBE,54.540,149.txt.gz
1496.ari,NO,0.603,1496.xml.gz
1497.ari,NO,0.749,1497.xml.gz
1498.ari,YES,0.626,1498.xml.gz
1499.ari,MAYBE,18.668,1499.txt.gz
15.ari,NO,6.600,15.xml.gz
150.ari,YES,1.079,150.xml.gz
1500.ari,YES,1.403,1500.xml.gz
1501.ari,YES,0.687,1501.xml.gz
1502.ari,YES,0.805,1502.xml.gz
151.ari,MAYBE,54.542,151.txt.gz
152.ari,MAYBE,54.634,152.txt.gz
153.ari,MAYBE,54.760,153.txt.gz
154.ari,MAYBE,54.696,154.txt.gz
155.ari,MAYBE,54.530,155.txt.gz
156.ari,YES,0.692,156.xml.gz
157.ari,YES,0.905,157.xml.gz
158.ari,MAYBE,54.519,158.txt.gz
159.ari,MAYBE,54.555,159.txt.gz
16.ari,NO,2.392,16.xml.gz
160.ari,MAYBE,54.523,160.txt.gz
1606.ari,NO,0.740,1606.xml.gz
1607.ari,NO,0.577,1607.xml.gz
161.ari,YES,0.656,161.xml.gz
1619.ari,MAYBE,18.655,1619.txt.gz
162.ari,MAYBE,54.519,162.txt.gz
1621.ari,MAYBE,18.759,1621.txt.gz
1622.ari,MAYBE,18.834,1622.txt.gz
163.ari,YES,0.780,163.xml.gz
164.ari,YES,0.744,164.xml.gz
165.ari,YES,1.016,165.xml.gz
166.ari,MAYBE,54.732,166.txt.gz
167.ari,MAYBE,54.544,167.txt.gz
