1.ari,YES,1.485,1.txt.gz
10.ari,NO,1.163,10.txt.gz
100.ari,YES,1.251,100.txt.gz
1001.ari,MAYBE,106.988,1001.txt.gz
1002.ari,MAYBE,106.571,1002.txt.gz
1003.ari,MAYBE,106.546,1003.txt.gz
1004.ari,MAYBE,106.806,1004.txt.gz
1005.ari,MAYBE,106.850,1005.txt.gz
1006.ari,MAYBE,106.917,1006.txt.gz
1007.ari,MAYBE,107.312,1007.txt.gz
1008.ari,MAYBE,106.890,1008.txt.gz
1009.ari,NO,1.196,1009.txt.gz
101.ari,YES,1.258,101.txt.gz
1010.ari,NO,1.178,1010.txt.gz
1011.ari,NO,2.705,1011.txt.gz
1014.ari,MAYBE,31.513,1014.txt.gz
102.ari,YES,1.426,102.txt.gz
103.ari,YES,1.705,103.txt.gz
104.ari,YES,2.340,104.txt.gz
105.ari,YES,1.261,105.txt.gz
106.ari,YES,1.864,106.txt.gz
107.ari,YES,9.320,107.txt.gz
108.ari,MAYBE,110.031,108.txt.gz
109.ari,YES,1.498,109.txt.gz
11.ari,YES,1.443,11.txt.gz
110.ari,YES,1.621,110.txt.gz
111.ari,NO,1.575,111.txt.gz
112.ari,YES,2.243,112.txt.gz
113.ari,YES,4.119,113.txt.gz
1131.ari,NO,1.151,1131.txt.gz
1132.ari,NO,1.371,1132.txt.gz
1133.ari,MAYBE,91.416,1133.txt.gz
1134.ari,MAYBE,91.637,1134.txt.gz
1135.ari,MAYBE,91.367,1135.txt.gz
1136.ari,MAYBE,91.312,1136.txt.gz
1137.ari,YES,6.734,1137.txt.gz
114.ari,YES,2.194,114.txt.gz
115.ari,YES,2.593,115.txt.gz
116.ari,YES,2.693,116.txt.gz
117.ari,YES,1.197,117.txt.gz
118.ari,YES,1.793,118.txt.gz
119.ari,YES,1.913,119.txt.gz
12.ari,YES,1.175,12.txt.gz
120.ari,YES,1.824,120.txt.gz
121.ari,YES,2.408,121.txt.gz
122.ari,YES,2.512,122.txt.gz
123.ari,YES,1.882,123.txt.gz
124.ari,MAYBE,91.277,124.txt.gz
125.ari,YES,2.052,125.txt.gz
126.ari,YES,2.059,126.txt.gz
127.ari,YES,1.993,127.txt.gz
128.ari,YES,3.049,128.txt.gz
129.ari,YES,2.023,129.txt.gz
13.ari,NO,1.162,13.txt.gz
130.ari,YES,1.735,130.txt.gz
131.ari,YES,1.680,131.txt.gz
132.ari,YES,3.349,132.txt.gz
133.ari,YES,1.798,133.txt.gz
134.ari,YES,1.711,134.txt.gz
135.ari,YES,2.112,135.txt.gz
136.ari,YES,2.584,136.txt.gz
137.ari,YES,5.000,137.txt.gz
138.ari,YES,2.484,138.txt.gz
139.ari,YES,2.282,139.txt.gz
14.ari,YES,1.465,14.txt.gz
140.ari,YES,1.942,140.txt.gz
141.ari,YES,1.241,141.txt.gz
142.ari,YES,1.482,142.txt.gz
143.ari,YES,2.785,143.txt.gz
144.ari,YES,2.661,144.txt.gz
145.ari,YES,1.658,145.txt.gz
146.ari,YES,1.522,146.txt.gz
147.ari,YES,1.485,147.txt.gz
148.ari,YES,1.650,148.txt.gz
149.ari,YES,3.401,149.txt.gz
1496.ari,NO,1.172,1496.txt.gz
1497.ari,NO,1.156,1497.txt.gz
1498.ari,YES,1.266,1498.txt.gz
1499.ari,MAYBE,57.811,1499.txt.gz
15.ari,NO,11.220,15.txt.gz
150.ari,YES,2.837,150.txt.gz
1500.ari,YES,61.410,1500.txt.gz
1501.ari,YES,1.533,1501.txt.gz
1502.ari,YES,1.330,1502.txt.gz
151.ari,YES,2.200,151.txt.gz
152.ari,YES,7.202,152.txt.gz
153.ari,YES,1.753,153.txt.gz
154.ari,YES,2.159,154.txt.gz
155.ari,YES,1.716,155.txt.gz
156.ari,YES,2.793,156.txt.gz
157.ari,YES,2.846,157.txt.gz
158.ari,YES,62.482,158.txt.gz
159.ari,YES,1.615,159.txt.gz
16.ari,NO,2.759,16.txt.gz
160.ari,YES,2.063,160.txt.gz
1606.ari,NO,1.863,1606.txt.gz
1607.ari,NO,1.134,1607.txt.gz
161.ari,YES,1.698,161.txt.gz
1619.ari,YES,1.156,1619.txt.gz
162.ari,YES,2.338,162.txt.gz
1621.ari,MAYBE,31.186,1621.txt.gz
1622.ari,YES,1.423,1622.txt.gz
163.ari,YES,2.105,163.txt.gz
164.ari,YES,1.783,164.txt.gz
165.ari,YES,2.869,165.txt.gz
166.ari,MAYBE,600.042,166.txt.gz
167.ari,MAYBE,188.311,167.txt.gz
168.ari,YES,1.646,168.txt.gz
169.ari,MAYBE,77.474,169.txt.gz
17.ari,YES,1.298,17.txt.gz
170.ari,YES,2.249,170.txt.gz
171.ari,YES,6.181,171.txt.gz
172.ari,YES,3.011,172.txt.gz
173.ari,YES,1.313,173.txt.gz
174.ari,YES,1.858,174.txt.gz
175.ari,YES,1.284,175.txt.gz
176.ari,YES,2.368,176.txt.gz
177.ari,YES,2.495,177.txt.gz
178.ari,YES,2.354,178.txt.gz
179.ari,YES,1.376,179.txt.gz
18.ari,YES,1.577,18.txt.gz
180.ari,YES,1.856,180.txt.gz
181.ari,YES,2.837,181.txt.gz
182.ari,YES,2.533,182.txt.gz
183.ari,YES,2.491,183.txt.gz
184.ari,YES,1.987,184.txt.gz
185.ari,YES,2.477,185.txt.gz
186.ari,YES,2.373,186.txt.gz
187.ari,YES,2.246,187.txt.gz
188.ari,YES,2.392,188.txt.gz
189.ari,YES,2.554,189.txt.gz
19.ari,YES,1.244,19.txt.gz
190.ari,YES,3.164,190.txt.gz
191.ari,YES,2.290,191.txt.gz
192.ari,YES,1.716,192.txt.gz
193.ari,YES,1.379,193.txt.gz
194.ari,YES,2.122,194.txt.gz
195.ari,YES,1.664,195.txt.gz
196.ari,YES,10.977,196.txt.gz
197.ari,YES,2.190,197.txt.gz
198.ari,YES,1.615,198.txt.gz
199.ari,YES,9.946,199.txt.gz
2.ari,YES,1.380,2.txt.gz
20.ari,YES,1.709,20.txt.gz
200.ari,YES,1.750,200.txt.gz
201.ari,YES,1.677,201.txt.gz
202.ari,NO,1.404,202.txt.gz
203.ari,YES,2.245,203.txt.gz
204.ari,NO,1.999,204.txt.gz
205.ari,YES,1.696,205.txt.gz
206.ari,NO,11.220,206.txt.gz
207.ari,YES,2.505,207.txt.gz
208.ari,YES,1.258,208.txt.gz
209.ari,YES,1.365,209.txt.gz
21.ari,NO,1.388,21.txt.gz
210.ari,YES,1.122,210.txt.gz
211.ari,YES,1.199,211.txt.gz
212.ari,YES,1.237,212.txt.gz
213.ari,YES,1.384,213.txt.gz
214.ari,NO,1.183,214.txt.gz
215.ari,NO,1.189,215.txt.gz
216.ari,MAYBE,31.105,216.txt.gz
217.ari,YES,1.207,217.txt.gz
218.ari,YES,1.735,218.txt.gz
219.ari,MAYBE,31.326,219.txt.gz
22.ari,YES,1.641,22.txt.gz
220.ari,MAYBE,31.196,220.txt.gz
221.ari,YES,1.268,221.txt.gz
222.ari,YES,1.566,222.txt.gz
223.ari,MAYBE,32.641,223.txt.gz
224.ari,YES,1.425,224.txt.gz
225.ari,NO,1.142,225.txt.gz
226.ari,NO,1.256,226.txt.gz
227.ari,NO,1.228,227.txt.gz
228.ari,NO,1.533,228.txt.gz
229.ari,NO,1.248,229.txt.gz
23.ari,YES,1.215,23.txt.gz
230.ari,NO,1.305,230.txt.gz
231.ari,NO,1.167,231.txt.gz
232.ari,NO,1.289,232.txt.gz
233.ari,NO,1.314,233.txt.gz
234.ari,NO,1.213,234.txt.gz
235.ari,NO,1.438,235.txt.gz
236.ari,NO,1.360,236.txt.gz
237.ari,NO,1.226,237.txt.gz
238.ari,NO,1.648,238.txt.gz
239.ari,MAYBE,31.560,239.txt.gz
24.ari,NO,21.338,24.txt.gz
240.ari,NO,2.411,240.txt.gz
241.ari,NO,1.398,241.txt.gz
242.ari,NO,1.396,242.txt.gz
243.ari,NO,1.265,243.txt.gz
244.ari,NO,1.317,244.txt.gz
245.ari,MAYBE,107.102,245.txt.gz
246.ari,MAYBE,106.840,246.txt.gz
247.ari,NO,1.256,247.txt.gz
248.ari,YES,2.752,248.txt.gz
249.ari,YES,3.144,249.txt.gz
25.ari,YES,3.400,25.txt.gz
250.ari,NO,1.337,250.txt.gz
26.ari,MAYBE,91.214,26.txt.gz
27.ari,MAYBE,31.638,27.txt.gz
28.ari,YES,2.409,28.txt.gz
29.ari,YES,1.207,29.txt.gz
3.ari,YES,1.535,3.txt.gz
30.ari,YES,1.666,30.txt.gz
31.ari,NO,1.143,31.txt.gz
32.ari,NO,1.163,32.txt.gz
33.ari,YES,1.394,33.txt.gz
34.ari,YES,1.262,34.txt.gz
35.ari,YES,1.358,35.txt.gz
36.ari,YES,1.442,36.txt.gz
37.ari,YES,1.838,37.txt.gz
38.ari,NO,1.535,38.txt.gz
381.ari,NO,1.042,381.txt.gz
39.ari,NO,1.329,39.txt.gz
392.ari,YES,2.512,392.txt.gz
393.ari,YES,1.485,393.txt.gz
394.ari,MAYBE,447.332,394.txt.gz
395.ari,MAYBE,91.334,395.txt.gz
396.ari,YES,1.503,396.txt.gz
397.ari,MAYBE,91.208,397.txt.gz
398.ari,YES,1.267,398.txt.gz
399.ari,YES,1.703,399.txt.gz
4.ari,YES,1.499,4.txt.gz
40.ari,YES,1.242,40.txt.gz
400.ari,YES,1.749,400.txt.gz
401.ari,YES,1.253,401.txt.gz
402.ari,YES,1.429,402.txt.gz
403.ari,YES,2.040,403.txt.gz
404.ari,YES,1.425,404.txt.gz
405.ari,YES,1.227,405.txt.gz
409.ari,YES,2.612,409.txt.gz
41.ari,YES,1.311,41.txt.gz
418.ari,MAYBE,23.563,418.txt.gz
419.ari,YES,3.825,419.txt.gz
42.ari,YES,1.209,42.txt.gz
421.ari,YES,1.211,421.txt.gz
422.ari,YES,1.418,422.txt.gz
423.ari,YES,1.295,423.txt.gz
424.ari,NO,1.139,424.txt.gz
425.ari,YES,1.369,425.txt.gz
426.ari,NO,1.348,426.txt.gz
427.ari,NO,1.355,427.txt.gz
428.ari,NO,1.253,428.txt.gz
429.ari,NO,1.348,429.txt.gz
43.ari,NO,1.181,43.txt.gz
430.ari,NO,1.109,430.txt.gz
431.ari,NO,1.134,431.txt.gz
434.ari,NO,1.161,434.txt.gz
435.ari,NO,1.145,435.txt.gz
439.ari,YES,2.402,439.txt.gz
44.ari,YES,1.420,44.txt.gz
440.ari,YES,1.380,440.txt.gz
441.ari,YES,5.447,441.txt.gz
442.ari,YES,8.619,442.txt.gz
443.ari,YES,15.817,443.txt.gz
444.ari,MAYBE,600.029,444.txt.gz
445.ari,NO,1.372,445.txt.gz
446.ari,YES,1.617,446.txt.gz
447.ari,YES,2.547,447.txt.gz
448.ari,MAYBE,564.065,448.txt.gz
449.ari,MAYBE,92.472,449.txt.gz
45.ari,NO,1.218,45.txt.gz
450.ari,NO,13.578,450.txt.gz
451.ari,YES,1.926,451.txt.gz
452.ari,NO,1.343,452.txt.gz
453.ari,NO,1.654,453.txt.gz
454.ari,YES,1.192,454.txt.gz
46.ari,NO,23.842,46.txt.gz
463.ari,MAYBE,106.577,463.txt.gz
464.ari,YES,1.264,464.txt.gz
465.ari,MAYBE,106.661,465.txt.gz
466.ari,NO,1.168,466.txt.gz
47.ari,YES,1.664,47.txt.gz
476.ari,NO,1.167,476.txt.gz
477.ari,NO,1.353,477.txt.gz
478.ari,NO,1.212,478.txt.gz
48.ari,NO,2.448,48.txt.gz
480.ari,NO,1.145,480.txt.gz
481.ari,YES,1.226,481.txt.gz
482.ari,NO,2.622,482.txt.gz
483.ari,NO,7.658,483.txt.gz
484.ari,YES,1.384,484.txt.gz
485.ari,YES,2.162,485.txt.gz
486.ari,YES,1.698,486.txt.gz
487.ari,YES,1.456,487.txt.gz
488.ari,YES,1.441,488.txt.gz
489.ari,NO,1.166,489.txt.gz
49.ari,YES,1.227,49.txt.gz
490.ari,YES,3.058,490.txt.gz
491.ari,NO,1.157,491.txt.gz
492.ari,YES,1.751,492.txt.gz
493.ari,NO,1.248,493.txt.gz
494.ari,YES,1.372,494.txt.gz
495.ari,YES,1.223,495.txt.gz
496.ari,NO,1.169,496.txt.gz
497.ari,NO,1.334,497.txt.gz
498.ari,NO,1.137,498.txt.gz
499.ari,NO,1.191,499.txt.gz
5.ari,NO,1.129,5.txt.gz
50.ari,YES,1.209,50.txt.gz
500.ari,NO,1.185,500.txt.gz
501.ari,NO,1.146,501.txt.gz
507.ari,MAYBE,170.278,507.txt.gz
508.ari,NO,1.194,508.txt.gz
51.ari,MAYBE,24.455,51.txt.gz
515.ari,NO,1.199,515.txt.gz
52.ari,YES,1.533,52.txt.gz
522.ari,NO,1.779,522.txt.gz
523.ari,NO,1.196,523.txt.gz
53.ari,MAYBE,22.599,53.txt.gz
539.ari,NO,1.179,539.txt.gz
54.ari,YES,1.315,54.txt.gz
540.ari,NO,1.333,540.txt.gz
541.ari,NO,1.823,541.txt.gz
544.ari,NO,1.177,544.txt.gz
55.ari,MAYBE,22.642,55.txt.gz
556.ari,NO,1.181,556.txt.gz
557.ari,YES,1.362,557.txt.gz
558.ari,YES,1.196,558.txt.gz
559.ari,NO,1.182,559.txt.gz
56.ari,MAYBE,22.944,56.txt.gz
560.ari,NO,1.301,560.txt.gz
561.ari,YES,1.940,561.txt.gz
562.ari,NO,1.328,562.txt.gz
563.ari,NO,1.264,563.txt.gz
564.ari,NO,1.229,564.txt.gz
565.ari,YES,1.387,565.txt.gz
566.ari,NO,1.248,566.txt.gz
567.ari,NO,1.180,567.txt.gz
568.ari,NO,1.343,568.txt.gz
569.ari,NO,1.212,569.txt.gz
57.ari,MAYBE,22.750,57.txt.gz
570.ari,NO,1.190,570.txt.gz
571.ari,YES,1.373,571.txt.gz
572.ari,NO,1.110,572.txt.gz
573.ari,NO,1.243,573.txt.gz
574.ari,NO,1.339,574.txt.gz
575.ari,NO,1.222,575.txt.gz
576.ari,NO,1.200,576.txt.gz
577.ari,NO,1.275,577.txt.gz
578.ari,NO,1.240,578.txt.gz
579.ari,NO,1.447,579.txt.gz
58.ari,YES,1.335,58.txt.gz
580.ari,YES,1.385,580.txt.gz
581.ari,NO,1.200,581.txt.gz
582.ari,NO,1.177,582.txt.gz
583.ari,NO,1.159,583.txt.gz
584.ari,NO,1.115,584.txt.gz
585.ari,NO,1.165,585.txt.gz
586.ari,NO,1.865,586.txt.gz
587.ari,NO,1.185,587.txt.gz
588.ari,NO,2.002,588.txt.gz
589.ari,NO,1.332,589.txt.gz
59.ari,YES,7.995,59.txt.gz
590.ari,YES,1.204,590.txt.gz
591.ari,NO,1.237,591.txt.gz
592.ari,NO,1.168,592.txt.gz
593.ari,NO,1.117,593.txt.gz
594.ari,NO,1.213,594.txt.gz
595.ari,NO,1.671,595.txt.gz
596.ari,NO,1.351,596.txt.gz
597.ari,NO,1.360,597.txt.gz
598.ari,NO,1.335,598.txt.gz
599.ari,YES,1.373,599.txt.gz
6.ari,NO,1.159,6.txt.gz
60.ari,YES,1.673,60.txt.gz
600.ari,YES,1.276,600.txt.gz
601.ari,YES,1.277,601.txt.gz
602.ari,YES,1.169,602.txt.gz
603.ari,NO,1.812,603.txt.gz
604.ari,NO,1.864,604.txt.gz
605.ari,NO,1.218,605.txt.gz
606.ari,NO,1.429,606.txt.gz
607.ari,NO,1.252,607.txt.gz
608.ari,NO,1.303,608.txt.gz
609.ari,YES,1.942,609.txt.gz
61.ari,YES,1.511,61.txt.gz
610.ari,NO,1.503,610.txt.gz
611.ari,NO,1.164,611.txt.gz
612.ari,NO,1.204,612.txt.gz
613.ari,NO,1.213,613.txt.gz
614.ari,YES,1.730,614.txt.gz
615.ari,NO,1.391,615.txt.gz
616.ari,NO,1.171,616.txt.gz
617.ari,NO,1.380,617.txt.gz
618.ari,YES,1.316,618.txt.gz
619.ari,NO,1.319,619.txt.gz
62.ari,YES,1.301,62.txt.gz
620.ari,NO,1.162,620.txt.gz
621.ari,NO,1.492,621.txt.gz
622.ari,NO,1.661,622.txt.gz
623.ari,NO,1.182,623.txt.gz
624.ari,NO,1.188,624.txt.gz
625.ari,NO,1.313,625.txt.gz
626.ari,NO,1.763,626.txt.gz
627.ari,YES,1.223,627.txt.gz
628.ari,NO,1.230,628.txt.gz
629.ari,NO,1.181,629.txt.gz
63.ari,NO,1.647,63.txt.gz
630.ari,NO,1.184,630.txt.gz
631.ari,NO,1.134,631.txt.gz
632.ari,NO,1.473,632.txt.gz
633.ari,NO,1.336,633.txt.gz
634.ari,NO,1.289,634.txt.gz
635.ari,NO,1.222,635.txt.gz
636.ari,NO,1.126,636.txt.gz
637.ari,NO,1.134,637.txt.gz
638.ari,NO,1.560,638.txt.gz
639.ari,NO,1.729,639.txt.gz
64.ari,YES,1.594,64.txt.gz
640.ari,YES,1.195,640.txt.gz
641.ari,NO,1.493,641.txt.gz
642.ari,YES,2.474,642.txt.gz
643.ari,YES,1.365,643.txt.gz
644.ari,NO,1.266,644.txt.gz
645.ari,YES,1.199,645.txt.gz
646.ari,NO,1.396,646.txt.gz
65.ari,YES,1.331,65.txt.gz
653.ari,YES,1.320,653.txt.gz
656.ari,NO,1.189,656.txt.gz
657.ari,YES,1.328,657.txt.gz
658.ari,NO,1.322,658.txt.gz
659.ari,YES,1.304,659.txt.gz
66.ari,YES,1.165,66.txt.gz
660.ari,YES,1.729,660.txt.gz
67.ari,YES,2.203,67.txt.gz
68.ari,YES,1.587,68.txt.gz
69.ari,NO,1.172,69.txt.gz
7.ari,NO,1.301,7.txt.gz
70.ari,YES,1.482,70.txt.gz
71.ari,YES,1.183,71.txt.gz
72.ari,YES,1.234,72.txt.gz
73.ari,YES,1.936,73.txt.gz
74.ari,YES,1.386,74.txt.gz
75.ari,YES,1.484,75.txt.gz
76.ari,YES,5.109,76.txt.gz
77.ari,NO,13.257,77.txt.gz
78.ari,YES,1.138,78.txt.gz
79.ari,NO,1.185,79.txt.gz
792.ari,NO,17.613,792.txt.gz
793.ari,YES,1.400,793.txt.gz
794.ari,MAYBE,94.925,794.txt.gz
795.ari,YES,1.202,795.txt.gz
796.ari,YES,1.393,796.txt.gz
797.ari,YES,2.645,797.txt.gz
798.ari,NO,1.173,798.txt.gz
799.ari,YES,4.202,799.txt.gz
8.ari,YES,1.886,8.txt.gz
80.ari,YES,1.398,80.txt.gz
800.ari,YES,1.776,800.txt.gz
801.ari,NO,1.166,801.txt.gz
802.ari,NO,2.702,802.txt.gz
803.ari,MAYBE,7.256,803.txt.gz
804.ari,NO,1.500,804.txt.gz
805.ari,NO,2.593,805.txt.gz
806.ari,YES,1.803,806.txt.gz
807.ari,NO,1.858,807.txt.gz
808.ari,YES,2.679,808.txt.gz
809.ari,NO,1.383,809.txt.gz
81.ari,YES,1.388,81.txt.gz
810.ari,NO,1.185,810.txt.gz
811.ari,NO,1.328,811.txt.gz
812.ari,NO,1.227,812.txt.gz
813.ari,NO,1.448,813.txt.gz
814.ari,YES,1.528,814.txt.gz
815.ari,YES,2.081,815.txt.gz
816.ari,NO,1.224,816.txt.gz
817.ari,YES,3.682,817.txt.gz
818.ari,NO,1.199,818.txt.gz
819.ari,NO,12.464,819.txt.gz
82.ari,YES,1.292,82.txt.gz
820.ari,NO,2.661,820.txt.gz
821.ari,NO,14.152,821.txt.gz
822.ari,NO,16.952,822.txt.gz
823.ari,NO,22.958,823.txt.gz
824.ari,NO,22.187,824.txt.gz
825.ari,NO,16.986,825.txt.gz
826.ari,NO,19.437,826.txt.gz
827.ari,NO,2.909,827.txt.gz
828.ari,NO,22.122,828.txt.gz
829.ari,NO,1.149,829.txt.gz
83.ari,YES,1.328,83.txt.gz
830.ari,NO,1.387,830.txt.gz
831.ari,NO,1.307,831.txt.gz
832.ari,YES,1.321,832.txt.gz
833.ari,YES,1.665,833.txt.gz
834.ari,YES,1.641,834.txt.gz
835.ari,NO,1.151,835.txt.gz
836.ari,NO,1.142,836.txt.gz
837.ari,YES,1.438,837.txt.gz
838.ari,NO,1.166,838.txt.gz
839.ari,YES,4.063,839.txt.gz
84.ari,YES,1.243,84.txt.gz
840.ari,YES,1.653,840.txt.gz
841.ari,NO,1.487,841.txt.gz
842.ari,MAYBE,91.508,842.txt.gz
843.ari,MAYBE,91.268,843.txt.gz
844.ari,MAYBE,91.322,844.txt.gz
845.ari,MAYBE,91.230,845.txt.gz
846.ari,MAYBE,91.263,846.txt.gz
847.ari,MAYBE,91.509,847.txt.gz
848.ari,YES,57.195,848.txt.gz
849.ari,MAYBE,91.325,849.txt.gz
85.ari,YES,1.511,85.txt.gz
850.ari,YES,9.633,850.txt.gz
851.ari,MAYBE,91.916,851.txt.gz
852.ari,MAYBE,91.402,852.txt.gz
853.ari,MAYBE,91.414,853.txt.gz
