1.ari,YES,1.425,1.txt.gz
10.ari,NO,1.474,10.txt.gz
100.ari,YES,1.298,100.txt.gz
1001.ari,MAYBE,107.053,1001.txt.gz
1002.ari,MAYBE,106.618,1002.txt.gz
1003.ari,MAYBE,106.649,1003.txt.gz
1004.ari,MAYBE,106.804,1004.txt.gz
1005.ari,MAYBE,106.767,1005.txt.gz
1006.ari,MAYBE,106.908,1006.txt.gz
1007.ari,MAYBE,106.633,1007.txt.gz
1008.ari,MAYBE,106.980,1008.txt.gz
1009.ari,NO,1.252,1009.txt.gz
101.ari,YES,1.286,101.txt.gz
1010.ari,NO,1.213,1010.txt.gz
1011.ari,NO,2.525,1011.txt.gz
1014.ari,MAYBE,31.561,1014.txt.gz
102.ari,YES,1.251,102.txt.gz
103.ari,YES,2.473,103.txt.gz
104.ari,YES,2.137,104.txt.gz
105.ari,YES,1.585,105.txt.gz
106.ari,YES,1.174,106.txt.gz
107.ari,YES,8.187,107.txt.gz
108.ari,MAYBE,91.949,108.txt.gz
109.ari,YES,1.360,109.txt.gz
11.ari,YES,1.425,11.txt.gz
110.ari,YES,1.800,110.txt.gz
111.ari,NO,1.341,111.txt.gz
112.ari,YES,2.353,112.txt.gz
113.ari,YES,4.460,113.txt.gz
1131.ari,NO,1.745,1131.txt.gz
1132.ari,NO,1.254,1132.txt.gz
1133.ari,MAYBE,91.594,1133.txt.gz
1134.ari,MAYBE,92.147,1134.txt.gz
1135.ari,MAYBE,91.394,1135.txt.gz
1136.ari,MAYBE,91.378,1136.txt.gz
1137.ari,YES,6.587,1137.txt.gz
114.ari,YES,2.238,114.txt.gz
115.ari,YES,2.407,115.txt.gz
116.ari,YES,2.656,116.txt.gz
117.ari,YES,1.354,117.txt.gz
118.ari,YES,2.042,118.txt.gz
119.ari,YES,1.821,119.txt.gz
12.ari,YES,1.339,12.txt.gz
120.ari,YES,1.599,120.txt.gz
121.ari,YES,1.706,121.txt.gz
122.ari,YES,2.298,122.txt.gz
123.ari,YES,1.751,123.txt.gz
124.ari,MAYBE,91.463,124.txt.gz
125.ari,YES,3.627,125.txt.gz
126.ari,YES,2.268,126.txt.gz
127.ari,YES,2.496,127.txt.gz
128.ari,YES,1.946,128.txt.gz
129.ari,YES,2.115,129.txt.gz
13.ari,NO,1.126,13.txt.gz
130.ari,YES,1.598,130.txt.gz
131.ari,YES,1.756,131.txt.gz
132.ari,YES,3.006,132.txt.gz
133.ari,YES,2.101,133.txt.gz
134.ari,YES,1.730,134.txt.gz
135.ari,YES,2.661,135.txt.gz
136.ari,YES,1.624,136.txt.gz
137.ari,YES,4.945,137.txt.gz
138.ari,YES,2.388,138.txt.gz
139.ari,YES,2.836,139.txt.gz
14.ari,YES,1.311,14.txt.gz
140.ari,YES,2.700,140.txt.gz
141.ari,YES,1.180,141.txt.gz
142.ari,YES,1.483,142.txt.gz
143.ari,YES,3.064,143.txt.gz
144.ari,YES,3.209,144.txt.gz
145.ari,YES,1.716,145.txt.gz
146.ari,YES,1.397,146.txt.gz
147.ari,YES,1.677,147.txt.gz
148.ari,YES,1.814,148.txt.gz
149.ari,YES,1.834,149.txt.gz
1496.ari,NO,1.175,1496.txt.gz
1497.ari,NO,1.595,1497.txt.gz
1498.ari,YES,1.273,1498.txt.gz
1499.ari,MAYBE,59.954,1499.txt.gz
15.ari,NO,11.279,15.txt.gz
150.ari,YES,2.755,150.txt.gz
1500.ari,YES,61.416,1500.txt.gz
1501.ari,YES,1.382,1501.txt.gz
1502.ari,YES,1.455,1502.txt.gz
151.ari,YES,1.615,151.txt.gz
152.ari,YES,6.261,152.txt.gz
153.ari,YES,1.790,153.txt.gz
154.ari,YES,2.134,154.txt.gz
155.ari,YES,1.607,155.txt.gz
156.ari,YES,1.847,156.txt.gz
157.ari,YES,2.840,157.txt.gz
158.ari,YES,62.142,158.txt.gz
159.ari,YES,1.549,159.txt.gz
16.ari,NO,2.673,16.txt.gz
160.ari,YES,2.342,160.txt.gz
1606.ari,NO,1.436,1606.txt.gz
1607.ari,NO,1.137,1607.txt.gz
161.ari,YES,1.309,161.txt.gz
1619.ari,YES,1.273,1619.txt.gz
162.ari,YES,2.505,162.txt.gz
1621.ari,MAYBE,31.870,1621.txt.gz
1622.ari,YES,1.536,1622.txt.gz
163.ari,YES,2.165,163.txt.gz
164.ari,YES,2.148,164.txt.gz
165.ari,YES,2.444,165.txt.gz
166.ari,MAYBE,600.094,166.txt.gz
167.ari,MAYBE,199.699,167.txt.gz
168.ari,YES,1.851,168.txt.gz
169.ari,MAYBE,82.186,169.txt.gz
17.ari,YES,1.332,17.txt.gz
170.ari,YES,3.682,170.txt.gz
171.ari,YES,8.544,171.txt.gz
172.ari,YES,2.560,172.txt.gz
173.ari,YES,1.908,173.txt.gz
174.ari,YES,1.313,174.txt.gz
175.ari,YES,1.185,175.txt.gz
176.ari,YES,2.339,176.txt.gz
177.ari,YES,2.632,177.txt.gz
178.ari,YES,2.075,178.txt.gz
